# Mapping for US-ASCII
# Aliases: [ANSI_X3.4-1968, cp367, csASCII, iso-ir-6, ASCII, iso_646.irv:1983, ANSI_X3.4-1986, ascii7, default, ISO_646.irv:1991, ISO646-US, IBM367, 646, us]
#
# Generated by CodecMapper, for more information, see
# https://github.com/roskakori/CodecMapper.
0x00	0x0000	#NULL
0xb0	0xfffd	#REPLACEMENT CHARACTER
0xb1	0xfffd	#REPLACEMENT CHARACTER
0xb2	0xfffd	#REPLACEMENT CHARACTER
0xb3	0xfffd	#REPLACEMENT CHARACTER
0xb4	0xfffd	#REPLACEMENT CHARACTER
0xb5	0xfffd	#REPLACEMENT CHARACTER
0xb6	0xfffd	#REPLACEMENT CHARACTER
0xb7	0xfffd	#REPLACEMENT CHARACTER
0xb8	0xfffd	#REPLACEMENT CHARACTER
0xb9	0xfffd	#REPLACEMENT CHARACTER
0xba	0xfffd	#REPLACEMENT CHARACTER
0xbb	0xfffd	#REPLACEMENT CHARACTER
0xbc	0xfffd	#REPLACEMENT CHARACTER
0xbd	0xfffd	#REPLACEMENT CHARACTER
0xbe	0xfffd	#REPLACEMENT CHARACTER
0xbf	0xfffd	#REPLACEMENT CHARACTER
0xc0	0xfffd	#REPLACEMENT CHARACTER
0xc1	0xfffd	#REPLACEMENT CHARACTER
0xc2	0xfffd	#REPLACEMENT CHARACTER
0xc3	0xfffd	#REPLACEMENT CHARACTER
0xc4	0xfffd	#REPLACEMENT CHARACTER
0xc5	0xfffd	#REPLACEMENT CHARACTER
0xc6	0xfffd	#REPLACEMENT CHARACTER
0xc7	0xfffd	#REPLACEMENT CHARACTER
0xc8	0xfffd	#REPLACEMENT CHARACTER
0xc9	0xfffd	#REPLACEMENT CHARACTER
0xca	0xfffd	#REPLACEMENT CHARACTER
0xcb	0xfffd	#REPLACEMENT CHARACTER
0xcc	0xfffd	#REPLACEMENT CHARACTER
0xcd	0xfffd	#REPLACEMENT CHARACTER
0xce	0xfffd	#REPLACEMENT CHARACTER
0xcf	0xfffd	#REPLACEMENT CHARACTER
0xd0	0xfffd	#REPLACEMENT CHARACTER
0xd1	0xfffd	#REPLACEMENT CHARACTER
0xd2	0xfffd	#REPLACEMENT CHARACTER
0xd3	0xfffd	#REPLACEMENT CHARACTER
0xd4	0xfffd	#REPLACEMENT CHARACTER
0xd5	0xfffd	#REPLACEMENT CHARACTER
0xd6	0xfffd	#REPLACEMENT CHARACTER
0xd7	0xfffd	#REPLACEMENT CHARACTER
0xd8	0xfffd	#REPLACEMENT CHARACTER
0xd9	0xfffd	#REPLACEMENT CHARACTER
0xda	0xfffd	#REPLACEMENT CHARACTER
0xdb	0xfffd	#REPLACEMENT CHARACTER
0xdc	0xfffd	#REPLACEMENT CHARACTER
0xdd	0xfffd	#REPLACEMENT CHARACTER
0xde	0xfffd	#REPLACEMENT CHARACTER
0xdf	0xfffd	#REPLACEMENT CHARACTER
0xe0	0xfffd	#REPLACEMENT CHARACTER
0xe1	0xfffd	#REPLACEMENT CHARACTER
0xe2	0xfffd	#REPLACEMENT CHARACTER
0xe3	0xfffd	#REPLACEMENT CHARACTER
0xe4	0xfffd	#REPLACEMENT CHARACTER
0xe5	0xfffd	#REPLACEMENT CHARACTER
0xe6	0xfffd	#REPLACEMENT CHARACTER
0xe7	0xfffd	#REPLACEMENT CHARACTER
0xe8	0xfffd	#REPLACEMENT CHARACTER
0xe9	0xfffd	#REPLACEMENT CHARACTER
0xea	0xfffd	#REPLACEMENT CHARACTER
0xeb	0xfffd	#REPLACEMENT CHARACTER
0xec	0xfffd	#REPLACEMENT CHARACTER
0xed	0xfffd	#REPLACEMENT CHARACTER
0xee	0xfffd	#REPLACEMENT CHARACTER
0xef	0xfffd	#REPLACEMENT CHARACTER
0xf0	0xfffd	#REPLACEMENT CHARACTER
0xf1	0xfffd	#REPLACEMENT CHARACTER
0xf2	0xfffd	#REPLACEMENT CHARACTER
0xf3	0xfffd	#REPLACEMENT CHARACTER
0xf4	0xfffd	#REPLACEMENT CHARACTER
0xf5	0xfffd	#REPLACEMENT CHARACTER
0xf6	0xfffd	#REPLACEMENT CHARACTER
0xf7	0xfffd	#REPLACEMENT CHARACTER
0xf8	0xfffd	#REPLACEMENT CHARACTER
0xf9	0xfffd	#REPLACEMENT CHARACTER
0xfa	0xfffd	#REPLACEMENT CHARACTER
0xfb	0xfffd	#REPLACEMENT CHARACTER
0xfc	0xfffd	#REPLACEMENT CHARACTER
0xfd	0xfffd	#REPLACEMENT CHARACTER
0xfe	0xfffd	#REPLACEMENT CHARACTER
0xff	0xfffd	#REPLACEMENT CHARACTER
